Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0424509821214925,-0.000187410816247907,0.0174165868796192,0,0,0,0.189453490674813,6.97021668948153E-05,-3.1871743171029E-08,1.49884931992141E-06,0.000249993640982368,-7.83026937188393E-07,0.000290694564672317,0,0,0,0,0,0,package://14DOF-NW/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-NW/meshes/base_link.STL,,头部关节-下-2;IMU模块-1;主控固定板-1;头部关节-上-1;电源模块固定板-1;蛇头盖-1;蛇头圆角件-1;蛇头圆角件-2;蛇头圆角长件-1;蛇头顶圆角长件-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-0.0334174956714638,0.000143074784932462,0.0182064311007753,0,0,0,0.116231018128725,6.39649786390315E-05,-5.80700646261023E-09,1.03803712774749E-07,5.82243313549387E-05,-3.16580024440341E-10,7.31870337232381E-05,0,0,0,0,0,0,package://14DOF-NW/meshes/link1.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-NW/meshes/link1.STL,,舵机-2;正交关节-1;圆角长件-1;圆角长件-2;圆角件-1;圆角件-2,link1,joint1,yaw1,revolute,-0.124000856480825,-1.59695599620056E-05,0.00182993031920744,0.00872664625997146,0,0,base_link,0,0,1,1,1,-1.57,1.57,,,0.6,0.052,,,,
link2,-0.0335751023029186,0.00014307478492651,0.0179141188934037,0,0,0,0.116231018128809,6.39638692963038E-05,-5.8040227093023E-09,2.33143761971095E-08,5.82243313549697E-05,-3.67243027391374E-10,7.31881430660066E-05,0,0,0,0,0,0,package://14DOF-NW/meshes/link2.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-NW/meshes/link2.STL,,舵机-4;正交关节-3;圆角件-4;圆角长件-3;圆角件-3;圆角长件-4,link2,joint2,pitch1,revolute,-0.0758100000000003,0.0183,0.01835,1.5707963267949,0,0.00872664625997157,link1,-0.00872653549837385,0,0.999961923064171,1,1,-1.57,1.57,,,0.6,0.052,,,,
link3,-0.0335751011963236,-1.5809730222366E-05,0.0179146853302422,0,0,0,0.116231018128809,6.39638701779588E-05,-5.57025518874313E-09,2.32728127337891E-08,5.82254763260752E-05,-1.30937705888566E-07,7.31869972132463E-05,0,0,0,0,0,0,package://14DOF-NW/meshes/link3.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-NW/meshes/link3.STL,,舵机-9;正交关节-8;圆角件-13;圆角长件-13;圆角长件-14;圆角件-14,link3,joint3,yaw2,revolute,-0.0759672453138902,-0.01835,0.0176877426320958,-1.57944649123982,-0.00880246354041921,-0.00872631979186493,link2,-0.00872587097686309,-0.00872653549837375,0.99992385047757,1,1,-1.57,1.57,,,0.6,0.052,,,,
link4,-0.0335751023029186,0.00014307478491924,0.0179141188934037,0,0,0,0.116231018128809,6.39638692963039E-05,-5.8040227093102E-09,2.33143761970821E-08,5.82243313549698E-05,-3.67243027385552E-10,7.31881430660067E-05,0,0,0,0,0,0,package://14DOF-NW/meshes/link4.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-NW/meshes/link4.STL,,舵机-5;圆角长件-5;圆角件-5;正交关节-4;圆角长件-6;圆角件-6,link4,joint4,pitch2,revolute,-0.0759686306834661,0.0181891693618325,0.0178471950178592,1.57944649121474,-0.00880213416012471,0.00872665203386414,link3,-0.00872653549837377,0,0.999961923064171,1,1,-1.57,1.57,,,0.6,0.052,,,,
link5,-0.0335751011963236,-1.58097302195581E-05,0.0179146853302428,0,0,0,0.116231018128809,6.39638701779587E-05,-5.57025518873771E-09,2.32728127337445E-08,5.82254763260752E-05,-1.30937705888562E-07,7.31869972132461E-05,0,0,0,0,0,0,package://14DOF-NW/meshes/link5.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-NW/meshes/link5.STL,,舵机-10;正交关节-9;圆角件-15;圆角长件-15;圆角件-16;圆角长件-16,link5,joint5,yaw3,revolute,-0.0759672453138904,-0.0183499999999985,0.0176877426321041,-1.57944649123982,-0.00880246354041289,-0.00872631979187118,link4,-0.00872587097686309,-0.00872653549837375,0.99992385047757,1,1,-1.57,1.57,,,0.6,0.052,,,,
link6,-0.0335751023029184,0.000143074784933295,0.0179141188934032,0,0,0,0.116231018128809,6.39638692963039E-05,-5.80402270930328E-09,2.33143761971535E-08,5.82243313549698E-05,-3.67243027395098E-10,7.31881430660068E-05,0,0,0,0,0,0,package://14DOF-NW/meshes/link6.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-NW/meshes/link6.STL,,舵机-8;正交关节-7;圆角长件-11;圆角件-12;圆角长件-12;圆角件-11,link6,joint6,pitch3,revolute,-0.0759686306834659,0.0181891693618347,0.0178471950178522,1.57944649121474,-0.0088021341601309,0.00872665203385783,link5,-0.00872653549837375,0,0.999961923064171,1,1,-1.57,1.57,,,0.6,0.052,,,,
link7,-0.0335751011963236,-1.58097302191154E-05,0.0179146853302356,0,0,0,0.116231018128809,6.39638701779587E-05,-5.57025518878335E-09,2.3272812733709E-08,5.82254763260751E-05,-1.30937705888552E-07,7.31869972132461E-05,0,0,0,0,0,0,package://14DOF-NW/meshes/link7.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-NW/meshes/link7.STL,,舵机-7;正交关节-6;圆角件-9;圆角长件-9;圆角件-10;圆角长件-10,link7,joint7,yaw4,revolute,-0.0759672453138908,-0.018349999999979,0.0176877426321032,-1.57944649123982,-0.00880246354040666,-0.00872631979187742,link6,-0.00872587097686309,-0.00872653549837375,0.99992385047757,1,1,-1.57,1.57,,,0.6,0.052,,,,
link8,-0.0335751023029187,0.000143074784926439,0.0179141188934109,0,0,0,0.116231018128809,6.39638692963039E-05,-5.80402270929538E-09,2.33143761972081E-08,5.82243313549698E-05,-3.67243027417235E-10,7.31881430660068E-05,0,0,0,0,0,0,package://14DOF-NW/meshes/link8.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-NW/meshes/link8.STL,,舵机-6;正交关节-5;圆角长件-7;圆角件-8;圆角长件-8;圆角件-7,link8,joint8,pitch4,revolute,-0.0759686306834659,0.0181891693618474,0.0178471950178542,1.57944649121474,-0.0088021341601369,0.00872665203385157,link7,-0.00872653549837375,0,0.999961923064171,1,1,-1.57,1.57,,,0.6,0.052,,,,
link9,-0.0335751011963238,-1.58097302221593E-05,0.0179146853302307,0,0,0,0.11623101812881,6.39638701779588E-05,-5.57025518870488E-09,2.32728127336337E-08,5.82254763260753E-05,-1.30937705888554E-07,7.31869972132464E-05,0,0,0,0,0,0,package://14DOF-NW/meshes/link9.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-NW/meshes/link9.STL,,舵机-12;正交关节-11;圆角件-19;圆角长件-19;圆角件-20;圆角长件-20,link9,joint9,yaw5,revolute,-0.0759672453138908,-0.0183499999999866,0.0176877426321096,-1.57944649123982,-0.0088024635404005,-0.00872631979188347,link8,-0.00872587097686309,-0.00872653549837375,0.99992385047757,1,1,-1.57,1.57,,,0.6,0.052,,,,
