Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.041131,-0.00020391,0.018796,0,0,0,0.2198141,6.936E-05,-3.3426E-08,1.5311E-06,0.0002227,-7.7746E-07,0.00026277,0,0,0,0,0,0,package://14DOF-SW/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-SW/meshes/base_link.STL,,头部关节-下-2;IMU模块-1;主控固定板-1;头部关节-上-1;电源模块固定板-1;蛇头盖-1;蛇头圆角件-1;蛇头圆角件-2;蛇头顶圆角长件-1;单被动轮-1;单被动轮-8,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-0.0333822482315665,0.00014081637185736,0.0178277925358364,0,0,0,0.116856588571531,6.40681094231251E-05,-6.34074683683308E-09,1.03757208579469E-07,5.82401586277675E-05,-3.15717143179433E-10,7.31449623566064E-05,0,0,0,0,0,0,package://14DOF-SW/meshes/link1.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-SW/meshes/link1.STL,,舵机-2;正交关节-1;圆角长件-1;圆角长件-2;圆角件-2;单被动轮-7,link1,joint1,yaw1,revolute,-0.124000856480825,-1.59695599620056E-05,0.00182993031920744,0.00872664625997146,0,0,base_link,0,0,1,1,1,-1.57,1.57,,,0.6,0.052,,,,
link2,-0.0324530738345092,0.00108254938833274,0.0179213702645511,0,0,0,0.11256699286482,6.3890145781799E-05,2.31563413886279E-09,4.64125397795881E-08,5.53464105699204E-05,-3.00987049690007E-10,7.05330140492594E-05,0,0,0,0,0,0,package://14DOF-SW/meshes/link2.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-SW/meshes/link2.STL,,舵机-4;正交关节-3;圆角件-4;圆角件-3;圆角长件-4;单被动轮-10,link2,joint2,pitch1,revolute,-0.0758100000000003,0.0183,0.01835,1.5707963267949,0,0.00872664625997157,link1,-0.00872653549837385,0,0.999961923064171,1,1,-1.57,1.57,,,0.6,0.052,,,,
link3,-0.0335846194554987,-1.80475239656622E-05,0.0175359153388617,0,0,0,0.116856588571615,6.40648703434192E-05,1.04679308533956E-08,2.46152220458596E-08,5.82434172076032E-05,-1.30279438282207E-07,7.31449428565486E-05,0,0,0,0,0,0,package://14DOF-SW/meshes/link3.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-SW/meshes/link3.STL,,舵机-9;正交关节-8;圆角件-13;圆角长件-13;圆角长件-14;单被动轮-9,link3,joint3,yaw2,revolute,-0.0759672453138902,-0.01835,0.0176877426320958,-1.57944649123982,-0.00880246354041921,-0.00872631979186493,link2,-0.00872587097686309,-0.00872653549837375,0.99992385047757,1,1,-1.57,1.57,,,0.6,0.052,,,,
link4,-0.0324530738345153,0.00108254938834424,0.0179213702645713,0,0,0,0.112566992864733,6.38901457817698E-05,2.31563414511769E-09,4.64125397907772E-08,5.53464105698888E-05,-3.00987040422196E-10,7.05330140492467E-05,0,0,0,0,0,0,package://14DOF-SW/meshes/link4.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-SW/meshes/link4.STL,,舵机-5;圆角长件-5;圆角件-5;正交关节-4;圆角件-6;单被动轮-4,link4,joint4,pitch2,revolute,-0.0759686306834661,0.0181891693618325,0.0178471950178592,1.57944649121474,-0.00880213416012471,0.00872665203386414,link3,-0.00872653549837377,0,0.999961923064171,1,1,-1.57,1.57,,,0.6,0.052,,,,
link5,-0.033536550975204,-1.47638544201766E-05,0.0175363634674192,0,0,0,0.116856588571527,6.40669907985399E-05,-6.1079654220593E-09,2.44886370391291E-08,5.82412991746913E-05,-1.30436280913177E-07,7.3144940434266E-05,0,0,0,0,0,0,package://14DOF-SW/meshes/link5.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-SW/meshes/link5.STL,,舵机-10;正交关节-9;圆角件-15;圆角长件-15;圆角长件-16;单被动轮-11,link5,joint5,yaw3,revolute,-0.0759672453138904,-0.0183499999999985,0.0176877426321041,-1.57944649123982,-0.00880246354041289,-0.00872631979187118,link4,-0.00872587097686309,-0.00872653549837375,0.99992385047757,1,1,-1.57,1.57,,,0.6,0.052,,,,
link6,-0.0324530738345092,0.00108254938833269,0.0179213702645538,0,0,0,0.11256699286482,6.3890145781799E-05,2.31563413885806E-09,4.64125397796093E-08,5.53464105699205E-05,-3.00987049687972E-10,7.05330140492594E-05,0,0,0,0,0,0,package://14DOF-SW/meshes/link6.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-SW/meshes/link6.STL,,舵机-8;正交关节-7;圆角长件-11;圆角件-12;圆角件-11;单被动轮-3,link6,joint6,pitch3,revolute,-0.0759686306834659,0.0181891693618347,0.0178471950178522,1.57944649121474,-0.0088021341601309,0.00872665203385783,link5,-0.00872653549837375,0,0.999961923064171,1,1,-1.57,1.57,,,0.6,0.052,,,,
link7,-0.0335369472779679,-1.13247824094221E-05,0.0176103308962978,0,0,0,0.116856588571614,6.40669891754724E-05,-6.1087770383413E-09,2.45816277128954E-08,5.82412991747229E-05,-1.30436288004798E-07,7.31449420573751E-05,0,0,0,0,0,0,package://14DOF-SW/meshes/link7.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-SW/meshes/link7.STL,,舵机-7;正交关节-6;圆角件-9;圆角长件-9;圆角长件-10;单被动轮-6,link7,joint7,yaw4,revolute,-0.0759672453138908,-0.018349999999979,0.0176877426321032,-1.57944649123982,-0.00880246354040666,-0.00872631979187742,link6,-0.00872587097686309,-0.00872653549837375,0.99992385047757,1,1,-1.57,1.57,,,0.6,0.052,,,,
link8,-0.0324530738345096,0.00108254938833264,0.017921370264558,0,0,0,0.112566992864821,6.3890145781799E-05,2.31563413886896E-09,4.64125397796426E-08,5.53464105699204E-05,-3.00987049706141E-10,7.05330140492595E-05,0,0,0,0,0,0,package://14DOF-SW/meshes/link8.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-SW/meshes/link8.STL,,舵机-6;正交关节-5;圆角长件-7;圆角件-8;圆角件-7;单被动轮-12,link8,joint8,pitch4,revolute,-0.0759686306834659,0.0181891693618474,0.0178471950178542,1.57944649121474,-0.0088021341601369,0.00872665203385157,link7,-0.00872653549837375,0,0.999961923064171,1,1,-1.57,1.57,,,0.6,0.052,,,,
link9,-0.0335365509751969,-1.47638544254077E-05,0.017536363467391,0,0,0,0.116856588571615,6.40669907985692E-05,-6.10796542818501E-09,2.44886370277666E-08,5.82412991747231E-05,-1.30436280922272E-07,7.31449404342788E-05,0,0,0,0,0,0,package://14DOF-SW/meshes/link9.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-SW/meshes/link9.STL,,舵机-12;正交关节-11;圆角件-19;圆角长件-19;圆角长件-20;单被动轮-5,link9,joint9,yaw5,revolute,-0.0759672453138908,-0.0183499999999866,0.0176877426321096,-1.57944649123982,-0.0088024635404005,-0.00872631979188347,link8,-0.00872587097686309,-0.00872653549837375,0.99992385047757,1,1,-1.57,1.57,,,0.6,0.052,,,,
